Fecha Ultima Operacion;TFIT08261125
23/01/2018;6,31
25/01/2018;6,27
2/02/2018;6,34
8/02/2018;6,43
9/02/2018;6,45
14/02/2018;6,50
16/02/2018;6,43
20/02/2018;6,51
23/02/2018;6,45
26/02/2018;6,43
27/02/2018;6,47
28/02/2018;6,50
6/03/2018;6,63
13/03/2018;6,47
14/03/2018;6,49
20/03/2018;6,44
21/03/2018;6,45
22/03/2018;6,46
26/03/2018;6,45
4/04/2018;6,33
5/04/2018;6,30
6/04/2018;6,28
9/04/2018;6,29
10/04/2018;6,23
11/04/2018;6,17
12/04/2018;6,22
13/04/2018;6,18
16/04/2018;6,16
17/04/2018;6,16
18/04/2018;6,14
19/04/2018;6,20
20/04/2018;6,18
23/04/2018;6,21
24/04/2018;6,19
25/04/2018;6,23
26/04/2018;6,22
27/04/2018;6,20
30/04/2018;6,21
2/05/2018;6,24
3/05/2018;6,24
4/05/2018;6,25
7/05/2018;6,26
8/05/2018;6,36
9/05/2018;6,36
10/05/2018;6,30
11/05/2018;6,32
15/05/2018;6,35
17/05/2018;6,42
18/05/2018;6,51
22/05/2018;6,42
23/05/2018;6,41
29/05/2018;6,42
30/05/2018;6,42
31/05/2018;6,43
1/06/2018;6,40
5/06/2018;6,37
6/06/2018;6,34
7/06/2018;6,43
8/06/2018;6,41
13/06/2018;6,47
14/06/2018;6,46
15/06/2018;6,51
18/06/2018;6,52
19/06/2018;6,50
20/06/2018;6,52
21/06/2018;6,51
22/06/2018;6,49
25/06/2018;6,49
27/06/2018;6,50
29/06/2018;6,51
3/07/2018;6,47
5/07/2018;6,46
9/07/2018;6,48
10/07/2018;6,47
11/07/2018;6,50
12/07/2018;6,51
16/07/2018;6,54
17/07/2018;6,55
18/07/2018;6,51
19/07/2018;6,49
24/07/2018;6,52
26/07/2018;6,55
30/07/2018;6,56
1/08/2018;6,59
6/08/2018;6,57
8/08/2018;6,56
9/08/2018;6,50
15/08/2018;6,57
21/08/2018;6,54
22/08/2018;6,51
24/08/2018;6,50
28/08/2018;6,51
31/08/2018;6,55
3/09/2018;6,54
4/09/2018;6,56
5/09/2018;6,57
6/09/2018;6,60
7/09/2018;6,62
18/09/2018;6,63
26/09/2018;6,60
1/10/2018;6,57
2/10/2018;6,58
3/10/2018;6,61
4/10/2018;6,65
5/10/2018;6,67
8/10/2018;6,63
9/10/2018;6,63
10/10/2018;6,66
11/10/2018;6,70
12/10/2018;6,81
16/10/2018;6,72
19/10/2018;6,70
22/10/2018;6,70
24/10/2018;6,75
25/10/2018;6,79
26/10/2018;6,86
29/10/2018;6,87
30/10/2018;6,86
31/10/2018;6,84
1/11/2018;6,81
6/11/2018;6,85
13/11/2018;6,80
14/11/2018;6,79
15/11/2018;6,77
16/11/2018;6,73
19/11/2018;6,74
20/11/2018;6,76
21/11/2018;6,74
23/11/2018;6,70
26/11/2018;6,72
27/11/2018;6,70
28/11/2018;6,81
29/11/2018;6,68
5/12/2018;6,59
11/12/2018;6,57
13/12/2018;6,53
8/01/2019;6,42
9/01/2019;6,37
14/01/2019;6,43
15/01/2019;6,46
16/01/2019;6,48
17/01/2019;6,48
22/01/2019;6,52
23/01/2019;6,51
24/01/2019;6,52
28/01/2019;6,49
11/02/2019;6,37
12/02/2019;6,35
13/02/2019;6,34
14/02/2019;6,36
15/02/2019;6,30
18/02/2019;6,33
19/02/2019;6,31
20/02/2019;6,32
21/02/2019;6,34
22/02/2019;6,33
25/02/2019;6,29
26/02/2019;6,30
27/02/2019;6,30
28/02/2019;6,33
1/03/2019;6,36
4/03/2019;6,36
5/03/2019;6,33
6/03/2019;6,27
7/03/2019;6,22
8/03/2019;6,24
11/03/2019;6,16
12/03/2019;6,15
13/03/2019;6,14
14/03/2019;6,10
15/03/2019;6,10
18/03/2019;6,13
19/03/2019;6,09
20/03/2019;6,02
21/03/2019;5,95
22/03/2019;6,00
26/03/2019;6,00
27/03/2019;6,04
28/03/2019;6,04
29/03/2019;6,03
1/04/2019;6,06
2/04/2019;6,10
3/04/2019;6,09
4/04/2019;6,10
5/04/2019;6,07
8/04/2019;6,03
9/04/2019;6,00
10/04/2019;5,99
11/04/2019;6,02
12/04/2019;6,03
15/04/2019;6,05
16/04/2019;6,09
17/04/2019;6,04
22/04/2019;6,05
23/04/2019;6,07
24/04/2019;6,13
25/04/2019;6,16
29/04/2019;6,22
30/04/2019;6,23
2/05/2019;6,30
3/05/2019;6,23
6/05/2019;6,26
7/05/2019;6,25
8/05/2019;6,18
9/05/2019;6,15
10/05/2019;6,11
13/05/2019;6,16
14/05/2019;6,18
15/05/2019;6,16
16/05/2019;6,17
17/05/2019;6,17
20/05/2019;6,16
21/05/2019;6,17
22/05/2019;6,17
23/05/2019;6,20
24/05/2019;6,14
27/05/2019;6,13
28/05/2019;6,12
29/05/2019;6,07
30/05/2019;6,06
31/05/2019;6,02
4/06/2019;5,95
5/06/2019;5,90
6/06/2019;5,90
7/06/2019;5,87
11/06/2019;5,77
12/06/2019;5,73
13/06/2019;5,64
14/06/2019;5,66
17/06/2019;5,73
18/06/2019;5,72
19/06/2019;5,70
20/06/2019;5,61
21/06/2019;5,62
25/06/2019;5,59
26/06/2019;5,60
27/06/2019;5,57
28/06/2019;5,53
2/07/2019;5,42
3/07/2019;5,35
4/07/2019;5,33
5/07/2019;5,40
8/07/2019;5,46
9/07/2019;5,48
10/07/2019;5,45
11/07/2019;5,52
16/07/2019;5,50
17/07/2019;5,44
18/07/2019;5,49
19/07/2019;5,40
22/07/2019;5,36
23/07/2019;5,39
24/07/2019;5,34
25/07/2019;5,38
26/07/2019;5,34
29/07/2019;5,44
30/07/2019;5,51
31/07/2019;5,48
1/08/2019;5,50
2/08/2019;5,46
5/08/2019;5,57
6/08/2019;5,57
8/08/2019;5,52
9/08/2019;5,48
12/08/2019;5,51
13/08/2019;5,44
14/08/2019;5,40
15/08/2019;5,39
16/08/2019;5,36
20/08/2019;5,38
21/08/2019;5,41
22/08/2019;5,44
23/08/2019;5,48
26/08/2019;5,47
27/08/2019;5,49
28/08/2019;5,50
29/08/2019;5,54
30/08/2019;5,47
2/09/2019;5,55
3/09/2019;5,53
4/09/2019;5,48
5/09/2019;5,46
6/09/2019;5,42
9/09/2019;5,47
10/09/2019;5,49
11/09/2019;5,47
12/09/2019;5,46
13/09/2019;5,48
16/09/2019;5,44
17/09/2019;5,45
18/09/2019;5,44
19/09/2019;5,41
20/09/2019;5,36
23/09/2019;5,37
24/09/2019;5,35
25/09/2019;5,37
26/09/2019;5,35
27/09/2019;5,39
30/09/2019;5,39
1/10/2019;5,39
2/10/2019;5,41
3/10/2019;5,35
4/10/2019;5,34
7/10/2019;5,38
8/10/2019;5,35
9/10/2019;5,36
10/10/2019;5,42
11/10/2019;5,44
15/10/2019;5,48
16/10/2019;5,52
17/10/2019;5,49
18/10/2019;5,47
23/10/2019;5,51
24/10/2019;5,45
25/10/2019;5,45
28/10/2019;5,50
29/10/2019;5,53
30/10/2019;5,53
31/10/2019;5,45
1/11/2019;5,45
5/11/2019;5,52
6/11/2019;5,52
7/11/2019;5,55
8/11/2019;5,60
12/11/2019;5,70
13/11/2019;5,73
14/11/2019;5,71
15/11/2019;5,69
18/11/2019;5,74
19/11/2019;5,73
20/11/2019;5,72
22/11/2019;5,73
25/11/2019;5,85
26/11/2019;5,98
28/11/2019;5,85
29/11/2019;5,84
2/12/2019;5,85
3/12/2019;5,80
4/12/2019;5,71
5/12/2019;5,68
6/12/2019;5,64
10/12/2019;5,66
11/12/2019;5,60
12/12/2019;5,62
16/12/2019;5,65
17/12/2019;5,64
18/12/2019;5,64
20/12/2019;5,66
3/01/2020;5,68
7/01/2020;5,62
8/01/2020;5,55
9/01/2020;5,49
10/01/2020;5,45
13/01/2020;5,49
14/01/2020;5,49
15/01/2020;5,44
16/01/2020;5,44
17/01/2020;5,42
20/01/2020;5,48
22/01/2020;5,41
23/01/2020;5,42
24/01/2020;5,39
27/01/2020;5,44
29/01/2020;5,40
30/01/2020;5,42
31/01/2020;5,35
3/02/2020;5,35
4/02/2020;5,38
5/02/2020;5,32
6/02/2020;5,31
7/02/2020;5,33
10/02/2020;5,31
11/02/2020;5,29
12/02/2020;5,27
13/02/2020;5,30
14/02/2020;5,24
17/02/2020;5,22
18/02/2020;5,22
19/02/2020;5,24
20/02/2020;5,26
21/02/2020;5,21
24/02/2020;5,18
25/02/2020;5,18
26/02/2020;5,19
27/02/2020;5,27
28/02/2020;5,44
2/03/2020;5,35
3/03/2020;5,23
4/03/2020;5,10
5/03/2020;5,18
6/03/2020;5,28
9/03/2020;5,84
10/03/2020;6,05
11/03/2020;6,50
12/03/2020;7,50
16/03/2020;9,00
17/03/2020;8,00
18/03/2020;8,20
19/03/2020;8,45
20/03/2020;8,30
24/03/2020;7,40
26/03/2020;6,25
31/03/2020;6,65
2/04/2020;7,20
3/04/2020;7,15
7/04/2020;7,00
14/04/2020;6,50
15/04/2020;6,14
16/04/2020;5,90
17/04/2020;5,90
21/04/2020;6,25
23/04/2020;5,95
24/04/2020;5,88
5/05/2020;5,62
6/05/2020;5,44
7/05/2020;5,30
8/05/2020;5,20
11/05/2020;5,24
