cargo;vacantes;salario_honorarios;sexo;nivel_educativo;años_experiencia;idiomas
contador;3;2200000;indiferente;profesional;5;no dato
contador;1;2500000;indiferente;profesional;2;no dato
contador;1;2000000;indiferente;profesional;2;no dato
analista de mercados ;3;1500000;indiferente;profesional;1;no dato
coodinador de planeacion;1;2200000;indiferente;profesional;0,25;no dato
administradora;1;1500000;femenino;profesional;1;no dato
asistente de gerencia;1;1500000;femenino;profesional;0,5;no dato
analista base de datos;1;2000000;indiferente;profesional;2;no dato
analista de estadistica;1;2000000;indiferente;profesional;2;no dato
gerente comercial;1;1500000;masculino;profesional;3;no dato
gerente comercial;1;4000000;masculino;profesional;3;no dato
contador;1;2500000;indiferente;profesional;2;no dato
contador;1;3080000;indiferente;especialización;4;inglés
contador;1;1900000;masculino;profesional;2;no dato
contador;1;1900000;indiferente;profesional;2;no dato
director comercial ;1;2500000;indiferente;profesional;4;no dato
asistente contable;1;1500000;indiferente;profesional;2;no dato
administración de compras ;1;1600000;indiferente;profesional;1;inglés
director comercial;1;1500000;indiferente;profesional;0;no dato
contador ;1;3000000;indiferente;profesional;0,5;no dato
contador ;1;2500000;indiferente;profesional;2;no dato
contador;1;900000;indiferente;profesional;1;no dato
auxiliar contable;2;1000000;indiferente;profesional;2;no dato
director de proyectos;1;1000000;indiferente;especialización;2;no dato
contador;1;2464000;indiferente;profesional;2;no dato
asistente administrativa ;1;1000000;femenino;profesional;1;no dato
gerente comercial ;1;2464000;indiferente;profesional;0,5;no dato
director comercial;1;2000000;indiferente;profesional;2;no dato
supervisor de operaciones call center;1;1850000;indiferente;profesional;1;no dato
auxiliar contable;1;1370000;indiferente;profesional;2;no dato
director comercial ;1;3000000;indiferente;especialización;3;no dato
asistente contable;1;2300000;indiferente;profesional;1;no dato
asistente contable;1;2200000;indiferente;profesional;4;no dato
asistente contable;1;2464000;indiferente;profesional;4;no dato
coordiandor de proyectos;1;4928000;indiferente;especialización;6;no dato
director de proyectos;1;4000000;indiferente;especialización;2;no dato
director de ventas ;1;1000000;indiferente;profesional;1;no dato
contador;1;1500000;indiferente;profesional;2;no dato
contador;1;1500000;indiferente;profesional;1;no dato
contador;1;1500000;indiferente;profesional;1;no dato
contador;1;2464000;indiferente;profesional;2;no dato
asistente administrativa;1;1500000;femenino;profesional;0,25;no dato
asistente administrativa gestión humana;1;1500000;indiferente;profesional;1;no dato
director comercial;1;2500000;femenino;profesional;3;no dato
analista de proyectos;1;1600000;indiferente;profesional;2;no dato
director de mercadeo y ventas;1;1800000;femenino;profesional;1;no dato
contador;2;2343726;indiferente;profesional;1;no dato
director de mercadeo y ventas ;1;2000000;indiferente;profesional;0,25;no dato
coordinadora de compras;1;1600000;indiferente;profesional;1;no dato
asistente comercial ;1;800000;femenino;profesional;1;no dato
administrador de restaurante;1;1700000;indiferente;profesional;0;no dato
administrador de restaurante;1;2000000;indiferente;profesional;0,25;inglés
analista de procesos ;1;3080000;indiferente;profesional;2;no dato
asistente contable;1;1968000;indiferente;profesional;1;no dato
asistente contable;1;1700000;indiferente;profesional;1;no dato
auxiliar de compras ;1;1000000;indiferente;profesional;0;no dato
administrador de empresas;1;1400000;femenino;profesional;1;no dato
director general;1;5000000;indiferente;profesional;5;no dato
contador ;1;1800000;indiferente;profesional;0,25;no dato
contador;1;2750000;indiferente;profesional;3;no dato
coordinador de eventos;1;2445760;indiferente;profesional;2;no dato
analista de mercados;1;2000000;indiferente;profesional;0;no dato
gerente de proyectos ;2;4928000;indiferente;especialización;2;no dato
contador;1;1500000;indiferente;profesional;2;no dato
director administrativo;1;5500000;indiferente;profesional;0,4;no dato
directora administrativa;1;4000000;femenino;profesional;0,25;no dato
lider de puntos de venta  ;1;2343726;femenino;profesional;2;no dato
asistente administrativa ;1;4000000;indiferente;profesional;3;no dato
asistente contable;3;2000000;masculino;profesional;2;no dato
analista de procesos ;1;1800000;indiferente;profesional;2;no dato
contador ;1;1100000;indiferente;profesional;2;no dato
contador ;1;1500000;femenino;profesional;1;no dato
contador;1;2000000;indiferente;profesional;1;no dato
contador;1;2800000;femenino;profesional;2;no dato
auxiliar contable ;1;1500000;femenino;profesional;2;no dato
asistente de gerencia;1;2000000;femenino;profesional;1;no dato
administrador de punto de venta;1;3080000;indiferente;profesional;3;no dato
contador ;2;3696000;indiferente;profesional;3;no dato
directora administrativa;3;3696000;indiferente;profesional;2;no dato
contador;1;2800000;femenino;profesional;2;no dato
director de mercadeo online;1;1500000;indiferente;profesional;3;no dato
director administrativo ;1;2500000;indiferente;profesional;3;inglés
supervisor de servicios;1;1800000;indiferente;profesional;1;no dato
profesional en gestion humana;1;1500000;indiferente;profesional;1;no dato
director comercial;1;2500000;masculino;profesional;2;inglés
director comercial ;1;2464000;indiferente;profesional;3;no dato
