Mes;IPC
ene-03;1,17
feb-03;1,11
mar-03;1,05
abr-03;1,15
may-03;0,49
jun-03;-0,05
jul-03;-0,14
ago-03;0,31
sep-03;0,22
oct-03;0,06
nov-03;0,35
dic-03;0,61
ene-04;0,89
feb-04;1,20
mar-04;0,98
abr-04;0,46
may-04;0,38
jun-04;0,60
jul-04;-0,03
ago-04;0,03
sep-04;0,30
oct-04;-0,01
nov-04;0,28
dic-04;0,30
ene-05;0,82
feb-05;1,02
mar-05;0,77
abr-05;0,44
may-05;0,41
jun-05;0,40
jul-05;0,05
ago-05;0,00
sep-05;0,43
oct-05;0,23
nov-05;0,11
dic-05;0,07
ene-06;0,54
feb-06;0,66
mar-06;0,70
abr-06;0,45
may-06;0,33
jun-06;0,30
jul-06;0,41
ago-06;0,39
sep-06;0,29
oct-06;-0,14
nov-06;0,24
dic-06;0,23
ene-07;0,77
feb-07;1,17
mar-07;1,21
abr-07;0,90
may-07;0,30
jun-07;0,12
jul-07;0,17
ago-07;-0,13
sep-07;0,08
oct-07;0,01
nov-07;0,47
dic-07;0,49
ene-08;1,06
feb-08;1,51
mar-08;0,81
abr-08;0,71
may-08;0,93
jun-08;0,86
jul-08;0,48
ago-08;0,19
sep-08;-0,19
oct-08;0,35
nov-08;0,28
dic-08;0,44
ene-09;0,59
feb-09;0,84
mar-09;0,50
abr-09;0,32
may-09;0,01
jun-09;-0,06
jul-09;-0,04
ago-09;0,04
sep-09;-0,11
oct-09;-0,13
nov-09;-0,07
dic-09;0,08
ene-10;0,69
feb-10;0,83
mar-10;0,25
abr-10;0,46
may-10;0,10
jun-10;0,11
jul-10;-0,04
ago-10;0,11
sep-10;-0,14
oct-10;-0,09
nov-10;0,19
dic-10;0,65
ene-11;0,91
feb-11;0,60
mar-11;0,27
abr-11;0,12
may-11;0,28
jun-11;0,32
jul-11;0,14
ago-11;-0,03
sep-11;0,31
oct-11;0,19
nov-11;0,14
dic-11;0,42
ene-12;0,73
feb-12;0,61
mar-12;0,12
abr-12;0,14
may-12;0,30
jun-12;0,08
jul-12;-0,02
ago-12;0,04
sep-12;0,29
oct-12;0,16
nov-12;-0,14
dic-12;0,09
ene-13;0,30
feb-13;0,44
mar-13;0,21
abr-13;0,25
may-13;0,28
jun-13;0,23
jul-13;0,04
ago-13;0,08
sep-13;0,29
oct-13;-0,26
nov-13;-0,22
dic-13;0,26
ene-14;0,49
feb-14;0,63
mar-14;0,39
abr-14;0,46
may-14;0,48
jun-14;0,09
jul-14;0,15
ago-14;0,20
sep-14;0,14
oct-14;0,16
nov-14;0,13
dic-14;0,27
ene-15;0,64
feb-15;1,15
mar-15;0,59
abr-15;0,54
may-15;0,26
jun-15;0,10
jul-15;0,19
ago-15;0,48
sep-15;0,72
oct-15;0,68
nov-15;0,60
dic-15;0,62
ene-16;1,29
feb-16;1,28
mar-16;0,94
abr-16;0,50
may-16;0,51
jun-16;0,48
jul-16;0,52
ago-16;-0,32
sep-16;-0,05
oct-16;-0,06
nov-16;0,11
dic-16;0,42
ene-17;1,02
feb-17;1,01
mar-17;0,47
abr-17;0,47
may-17;0,23
jun-17;0,11
jul-17;-0,05
ago-17;0,14
sep-17;0,04
oct-17;0,02
nov-17;0,18
dic-17;0,38
ene-18;0,63
feb-18;0,71
mar-18;0,24
abr-18;0,46
may-18;0,25
jun-18;0,15
jul-18;-0,13
ago-18;0,12
sep-18;0,16
oct-18;0,12
nov-18;0,12
dic-18;0,30
ene-19;0,60
feb-19;0,57
mar-19;0,43
abr-19;0,50
may-19;0,31
jun-19;0,27
jul-19;0,22
ago-19;0,09
sep-19;0,23
oct-19;0,16
nov-19;0,10
dic-19;0,26
ene-20;0,42
feb-20;0,67
mar-20;0,57
abr-20;0,16
may-20;-0,32
jun-20;-0,38
jul-20;0,00
ago-20;-0,01
sep-20;0,32
oct-20;-0,06
nov-20;-0,15
dic-20;0,38
ene-21;0,41
feb-21;0,64
mar-21;0,51
abr-21;0,59
may-21;1,00
jun-21;-0,05
jul-21;0,32
ago-21;0,45
sep-21;0,38
oct-21;0,01
nov-21;0,50
dic-21;0,73
ene-22;1,67
feb-22;1,63
mar-22;1,00
abr-22;1,25
